"Unique Name","Title","Resource URL","Creator"
"australian-air-force-cadets","Australian Air Force Cadets","https://www.aafc.org.au","Australian Air Force Cadets"
"australian-alps-national-parks","Australian Alps National Parks","https://theaustralianalps.wordpress.com/","Department of the Environment and Energy"
"australian-antarctic-data-centre","Australian Antarctic Data Centre","https://data.aad.gov.au/","Australian Antarctic Division"
"australian-antarctic-division","Australian Antarctic Division","https://www.antarctica.gov.au/","Department of the Environment and Energy"
"australian-apprenticeships","Australian Apprenticeships","https://www.australianapprenticeships.gov.au/","Department of Education and Training"
"australian-army","Australian Army","https://www.army.gov.au/","Department of Defence"
"australian-army-cadets","Australian Army Cadets","https://www.armycadets.gov.au/","Department of Defence"
"australian-astronomical-observatory","Australian Astronomical Observatory","https://www.aao.gov.au/","Department of Industry, Innovation and Science"
"australian-atlas-of-mineral-resources-mines-and-processing-centres","Australian Atlas of Mineral Resources, Mines & Processing Centres","https://www.australianminesatlas.gov.au/","Geoscience Australia"
"australian-biography","Australian Biography","https://www.australianbiography.gov.au/","Screen Australia"
"australian-border-force","Australian Border Force","https://www.homeaffairs.gov.au/australian-border-force-abf","Australian Border Force"
"australian-building-codes-board-abcb","Australian Building Codes Board","https://www.abcb.gov.au/","Department of Industry, Innovation and Science"
"australian-bureau-of-statistics-abs","Australian Bureau of Statistics","https://www.abs.gov.au/","Australian Bureau of Statistics"
"australian-business-licence-and-information-service-ablis","Australian Business Licence and Information Service","https://ablis.business.gov.au","Department of Industry, Innovation and Science"
"australian-business-register","Australian Business Register","https://abr.gov.au/","Australian Taxation Office"
"australian-cancer-trials","Australian Cancer Trials","https://australiancancertrials.gov.au/","Cancer Australia"
"australian-capital-territory-ombudsman","Australian Capital Territory Ombudsman","https://act.ombudsman.gov.au/","Commonwealth Ombudsman"
"australian-centre-for-international-agricultural-research-aciar","Australian Centre for International Agricultural Research ","https://aciar.gov.au/","Australian Centre for International Agricultural Research"
"australian-charities-and-not-for-profits-commission-acnc","Australian Charities and Not-for-profits Commission","https://www.acnc.gov.au/","Australian Charities and Not-for-profits Commission"
"australian-childrens-education-and-care-quality-authority-acecqa","Australian Children's Education and Care Quality Authority","https://www.acecqa.gov.au/","Australian Children's Education and Care Quality Authority"
"australian-childrens-television-foundation","Australian Children's Television Foundation","https://actf.com.au/","Australian Children's Television Foundation"
"australian-civil-military-centre","Australian Civil-Military Centre","https://www.acmc.gov.au/","Australian Civil-Military Centre"
"australian-classification","Australian Classification – films, etc.","https://www.classification.gov.au/","Attorney-General's Department"
"australian-clearinghouse-for-youth-studies","Australian Clearinghouse for Youth Studies (ACYS)","https://acys.info/","Australian Clearinghouse for Youth Studies"
"australian-clinical-practice-guidelines","Australian Clinical Practice Guidelines","https://www.clinicalguidelines.gov.au/","National Health and Medical Research Council"
"australian-clinical-trials","Australian clinical trials","https://www.australianclinicaltrials.gov.au/","National Health and Medical Research Council"
"australian-collaborative-land-evaluation-program","Australian Collaborative Land Evaluation Program","https://www.clw.csiro.au/aclep/","CSIRO, the Commonwealth Scientific and Industrial Research Organisation"
"australian-commission-for-law-enforcement-integrity-aclei","Australian Commission for Law Enforcement Integrity","https://www.aclei.gov.au","Australian Commission for Law Enforcement Integrity"
"australian-commission-on-safety-and-quality-in-health-care-acsqhc","Australian Commission on Safety and Quality in Health Care","https://www.safetyandquality.gov.au/","Australian Commission on Safety and Quality in Health Care"
"australian-communications-and-media-authority-acma","Australian Communications and Media Authority","https://www.acma.gov.au/","Australian Communications and Media Authority"
"australian-competition-and-consumer-commission-accc","Australian Competition and Consumer Commission","https://www.accc.gov.au/","Australian Competition and Consumer Commission"
"australian-competition-and-consumer-commission-consultation-hub","Australian Competition and Consumer Commission consultation hub","https://consultation.accc.gov.au/","Australian Competition and Consumer Commission"
"australian-competition-tribunal","Australian Competition Tribunal","https://www.competitiontribunal.gov.au/","Australian Competition Tribunal"
"australian-consulate-general-bali-indonesia","Australian Consulate-General, Bali","https://bali.indonesia.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-chengdu-china","Australian Consulate-General, Chengdu, China","https://chengdu.china.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-chennai-india","Australian Consulate-General, Chennai, India","https://chennai.consulate.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-guangzhou-china","Australian Consulate-General, Guangzhou","https://guangzhou.china.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-ho-chi-minh-city-vietnam","Australian Consulate-General, Ho Chi Minh City, Vietnam","https://hcmc.vietnam.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-hong-kong-china","Australian Consulate-General, Hong Kong","https://hongkong.china.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-los-angeles","Australian Consulate-General, Los Angeles","https://www.losangeles.consulate.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-makassar-indonesia","Australian Consulate-General, Makassar, Indonesia","https://makassar.consulate.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-mumbai-india","Australian Consulate-General, Mumbai, India","https://mumbai.consulate.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-new-york-united-states-of-america","Australian Consulate-General, New York, United States of America","https://newyork.usa.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-noumea-new-caledonia","Australian Consulate-General, Noumea, New Caledonia","https://australianconsulatenoumea.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consulate-general-shanghai-china","Australian Consulate-General, Shanghai, China","https://shanghai.china.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-consumer-law-acl","Australian Consumer Law","https://consumerlaw.gov.au/",""
"australian-criminal-intelligence-commission-acic","Australian Criminal Intelligence Commission","https://www.acic.gov.au/","Australian Criminal Intelligence Commission"
"australian-curriculum","Australian Curriculum","https://www.australiancurriculum.edu.au/","Australian Curriculum, Assessment and Reporting Authority"
"australian-curriculum-assessment-and-reporting-authority-acara","Australian Curriculum, Assessment and Reporting Authority","https://www.acara.edu.au/","Australian Curriculum, Assessment and Reporting Authority"
"australian-cyber-security-centre","Australian Cyber Security Centre","https://www.acsc.gov.au/","Department of Defence"
"australian-cybercrime-online-reporting-network","Australian Cybercrime Online Reporting Network","https://www.acorn.gov.au/","Australian Criminal Intelligence Commission"
"australian-defence-force-academy-adfa","Australian Defence Force Academy ","https://www.defence.gov.au/ADFA/","Department of Defence"
"austn-defence-force-warfare-centre","Australian Defence Force Warfare Centre","https://www.defence.gov.au/adfwc/","Department of Defence"
"australian-digital-health-agency","Australian Digital Health Agency","https://www.digitalhealth.gov.au/","Australian Digital Health Agency"
"australian-disaster-resilience-knowledge-hub","Australian Disaster Resilience Knowledge Hub","https://knowledge.aidr.org.au"," Australian Institute for Disaster Resilience"
"australian-early-development-census","Australian Early Development Census","https://www.aedc.gov.au/","Department of Education and Training"
"australian-egg-corporation-ltd-aecl","Australian Egg Corporation Ltd","https://www.aecl.org/","Australian Egg Corporation Ltd"
"australian-election-portal","Australian Election Portal","https://elections.gov.au/","Electoral Council of Australia & New Zealand"
"australian-electoral-commission-aec","Australian Electoral Commission","https://www.aec.gov.au/","Australian Electoral Commission"
"australian-embassy-permanent-mission-united-nations-vienna-austria","Australian Embassy and Permanent Mission to the United Nations, Vienna","https://www.austria.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-afghanistan","Australian Embassy, Afghanistan","https://afghanistan.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-argentina","Australian Embassy, Argentina","https://argentina.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-brazil","Australian Embassy, Brazil","https://www.brazil.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-brussels-belgium","Australian Embassy, Brussels","https://www.belgium.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-cambodia","Australian Embassy, Cambodia","https://www.cambodia.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-chile","Australian Embassy, Chile","https://www.chile.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-china","Australian Embassy, China","https://www.china.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-croatia","Australian Embassy, Croatia","https://croatia.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-denmark","Australian Embassy, Denmark","https://www.denmark.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-egypt","Australian Embassy, Egypt","https://www.egypt.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-ethiopia","Australian Embassy, Ethiopia","https://ethiopia.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-federated-states-of-micronesia","Australian Embassy, Federated States of Micronesia","https://www.fsm.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-france","Australian Embassy, France","https://www.france.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-germany","Australian Embassy, Germany","https://www.germany.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-greece","Australian Embassy, Greece","https://www.greece.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-indonesia","Australian Embassy, Indonesia","https://www.indonesia.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-islamic-republic-of-iran","Australian Embassy, Iran","https://www.iran.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-iraq","Australian Embassy, Iraq","https://www.iraq.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-ireland","Australian Embassy, Ireland","https://www.ireland.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-israel","Australian Embassy, Israel","https://www.israel.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-japan","Australian Embassy, Japan","https://japan.embassy.gov.au/tkyo/home.html","Department of Foreign Affairs and Trade"
"australian-embassy-jordan","Australian Embassy, Jordan","https://www.jordan.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-kuwait","Australian Embassy, Kuwait","https://www.kuwait.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-laos","Australian Embassy, Laos","https://www.laos.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-lebanon","Australian Embassy, Lebanon","https://www.lebanon.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-mexico","Australian Embassy, Mexico","https://www.mexico.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-myanmar","Australian Embassy, Myanmar","https://www.burma.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-nepal","Australian Embassy, Nepal","https://www.nepal.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-netherlands","Australian Embassy, Netherlands","https://www.netherlands.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-peru","Australian Embassy, Peru","https://peru.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-poland","Australian Embassy, Poland","https://poland.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-portugal","Australian Embassy, Portugal","https://portugal.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-republic-of-korea","Australian Embassy, Republic of Korea","https://www.southkorea.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-rome-italy","Australian Embassy, Rome","https://www.italy.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-russian-federation","Australian Embassy, Russian Federation","https://www.russia.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-saudi-arabia","Australian Embassy, Saudi Arabia","https://www.saudiarabia.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-serbia","Australian Embassy, Serbia","https://www.serbia.embassy.gov.au/bgde/home.html","Department of Foreign Affairs and Trade"
"australian-embassy-spain","Australian Embassy, Spain","https://www.spain.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-sweden","Australian Embassy, Sweden","https://www.sweden.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-thailand","Australian Embassy, Thailand","https://www.thailand.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-the-holy-see","Australian Embassy, the Holy See","https://holysee.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-philippines","Australian Embassy, The Philippines","https://www.philippines.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-timor-leste","Australian Embassy, Timor-Leste","https://timorleste.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-turkey","Australian Embassy, Turkey","https://turkey.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-ukraine","Australian Embassy, Ukraine","https://ukraine.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-united-arab-emirates","Australian Embassy, United Arab Emirates","https://uae.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-embassy-united-states-of-america","Australian Embassy, United States of America","https://www.usa.embassy.gov.au/whwh/home.html","Department of Foreign Affairs and Trade"
"australian-embassy-vietnam","Australian Embassy, Vietnam","https://www.vietnam.embassy.gov.au/hnoi/home.html","Department of Foreign Affairs and Trade"
"australian-embassy-zimbabwe","Australian Embassy, Zimbabwe","https://www.zimbabwe.embassy.gov.au/hare/home.html","Department of Foreign Affairs and Trade"
"australian-energy-market-commission-aemc","Australian Energy Market Commission ","https://www.aemc.gov.au/","Australian Energy Market Commission"
"australian-energy-regulator","Australian Energy Regulator","https://www.aer.gov.au/","Department of the Environment and Energy"
"australian-energy-regulator-aer","Australian Energy Regulator ","https://www.aer.gov.au/","Australian Energy Regulator "
"australian-export-awards","Australian Export Awards","https://www.exportawards.gov.au/","Australian Trade and Investment Commission"
"australian-federal-police-afp","Australian Federal Police","https://www.afp.gov.au/","Australian Federal Police"
"australian-film-television-and-radio-school-aftrs","Australian Film Television and Radio School","https://www.aftrs.edu.au/","Australian Film, Television and Radio School"
"australian-financial-security-authority-afsa","Australian Financial Security Authority","https://www.afsa.gov.au/","Australian Financial Security Authority"
"australian-fisheries-management-authority-afma","Australian Fisheries Management Authority","https://www.afma.gov.au/","Australian Fisheries Management Authority"
"australian-general-practice-training","Australian General Practice Training","https://www.agpt.com.au/","Department of Health"
"australian-geospatial-intelligence-organisation","Australian Geospatial-Intelligence Organisation ","https://www.defence.gov.au/AGO/","Department of Defence"
"australian-government-actuary","Australian Government Actuary","https://www.aga.gov.au/",""
"australian-government-bonds","Australian Government Bonds","https://australiangovernmentbonds.gov.au/","Australian Office of Financial Management"
"australian-government-competitive-neutrality-complaints-office","Australian Government Competitive Neutrality Complaints Office","https://www.pc.gov.au/about/core-functions/competitive-neutrality","Productivity Commission"
"australian-government-directory","Australian Government Directory","https://www.directory.gov.au/","Department of Finance"
"australian-government-register-of-lobbyists","Australian Government Register of Lobbyists","https://lobbyists.pmc.gov.au/","Department of the Prime Minister and Cabinet"
"australian-government-solicitor-ags","Australian Government Solicitor ","https://www.ags.gov.au/","Australian Government Solicitor"
"australian-government-web-archive","Australian Government Web Archive","https://webarchive.nla.gov.au/gov/","National Library of Australia"
"australian-governments-interactive-functions-thesaurus","Australian Governments' Interactive Functions Thesaurus","https://naa.gov.au/agift/","National Archives of Australia"
"australian-greenhouse-emissions-information-system","Australian Greenhouse Emissions Information System","https://ageis.climatechange.gov.au/","Department of the Environment and Energy"
"australian-health-practitioner-regulation-agency","Australian Health Practitioner Regulation Agency","https://www.ahpra.gov.au/","Australian Health Practitioner Regulation Agency"
"australian-hearing-ah","Australian Hearing","https://www.hearing.com.au/","Australian Hearing"
"australian-heritage-council","Australian Heritage Council  ","https://www.environment.gov.au/heritage/organisations/australian-heritage-council","Department of the Environment and Energy"
"australian-high-commission-bangladesh","Australian High Commission, Bangladesh","https://www.bangladesh.embassy.gov.au","Department of Foreign Affairs and Trade"
"australian-high-commission-brunei-darussalam","Australian High Commission, Brunei Darussalam","https://www.bruneidarussalam.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-canada","Australian High Commission, Canada","https://www.canada.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-cyprus","Australian High Commission, Cyprus","https://cyprus.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-fiji","Australian High Commission, Fiji","https://www.fiji.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-ghana","Australian High Commission, Ghana","https://www.ghana.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-india","Australian High Commission, India","https://www.india.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-kenya","Australian High Commission, Kenya","https://www.kenya.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-kiribati","Australian High Commission, Kiribati","https://www.kiribati.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-malaysia","Australian High Commission, Malaysia","https://malaysia.highcommission.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-malta","Australian High Commission, Malta","https://www.malta.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-mauritius","Australian High Commission, Mauritius","https://mauritius.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-new-zealand","Australian High Commission, New Zealand","https://newzealand.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-nigeria","Australian High Commission, Nigeria","https://www.nigeria.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-pakistan","Australian High Commission, Pakistan","https://pakistan.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-papua-new-guinea","Australian High Commission, Papua New Guinea","https://png.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-port-vila-vanuatu","Australian High Commission, Port Vila","https://vanuatu.embassy.gov.au","Department of Foreign Affairs and Trade"
"australian-high-commission-pretoria-south-africa","Australian High Commission, Pretoria","https://southafrica.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-samoa","Australian High Commission, Samoa","https://www.samoa.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-singapore","Australian High Commission, Singapore","https://www.singapore.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-solomon-islands","Australian High Commission, Solomon Islands","https://www.solomonislands.embassy.gov.au/","Department of Foreign Affairs and Trade"
"australian-high-commission-sri-lanka","Australian High Commission, Sri Lanka","https://www.srilanka.embassy.gov.au","Department of Foreign Affairs and Trade"
"australian-high-commission-tonga","Australian High Commission, Tonga","https://tonga.embassy.gov.au","Department of Foreign Affairs and Trade"
